id,frag1,frag2,new_smiles
3528,*c1cccc(CO)c1,*[C@H](C)c1cc(N)cc(C(F)(F)F)c1,C[C@@H](c1cccc(CO)c1)c1cc(N)cc(C(F)(F)F)c1
3529,*Cc1ccccc1,*CCNC(=O)C(C#N)=Cc1ccc2c[nH]nc2c1,N#CC(=Cc1ccc2c[nH]nc2c1)C(=O)NCCCc1ccccc1
3530,*C(=O)[C@H](C)Nc1nc2c(cnn2-c2ccccc2C)c(=O)[nH]1,*C(=O)C1CC1,Cc1ccccc1-n1ncc2c(=O)[nH]c(N[C@@H](C)C(=O)C(=O)C3CC3)nc21
3531,*N1CCN(c2ncnc3sc(CCF)cc23)CC1,*C(C)C,CC(C)N1CCN(c2ncnc3sc(CCF)cc23)CC1
3532,*[C@@H](C)c1ccc(Cl)cc1,*C(=O)[C@H](C)Nc1nc2c(cnn2-c2ccccc2C)c(=O)[nH]1,Cc1ccccc1-n1ncc2c(=O)[nH]c(N[C@@H](C)C(=O)[C@@H](C)c3ccc(Cl)cc3)nc21
3533,*c1cnc2[nH]ccc2c1,*N1CC[C@H](F)C1,F[C@H]1CCN(c2cnc3[nH]ccc3c2)C1
3534,*Nc1ccc(-c2nn(C(C)C)c3ncnc(N)c23)cc1,*N1CCN(C)CC1,CC(C)n1nc(-c2ccc(NN3CCN(C)CC3)cc2)c2c(N)ncnc21
3535,*n1c(N2CCNCC2)nc2ccc(Cl)cc21,*C(=O)c1ccccc1,O=C(c1ccccc1)n1c(N2CCNCC2)nc2ccc(Cl)cc21
3536,*[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,*c1ncnc2ccccc12,OC[C@H]1O[C@@H](c2ncnc3ccccc23)[C@H](O)[C@@H]1O
3537,*c1ccc(OC)cc1,*Cc1cccc2ccccc12,COc1ccc(Cc2cccc3ccccc23)cc1
3538,*c1ccc(S(N)(=O)=O)cc1CCN,*Nc1ccc(OC)cc1,COc1ccc(Nc2ccc(S(N)(=O)=O)cc2CCN)cc1
3539,*C1CCNCC1,*c1ccccc1C,Cc1ccccc1C1CCNCC1
3540,*c1ccc(N2CCOCC2)cc1,*c1cccc(CO)c1,OCc1cccc(-c2ccc(N3CCOCC3)cc2)c1
3541,*C(=O)[C@@H]1CN2C(=O)CCN2C12CCCC2,*N[C@@H]1CCC[C@H](N2CC[C@H](N(C)S(C)(=O)=O)C2)C1,CN([C@H]1CCN([C@H]2CCC[C@@H](NC(=O)[C@@H]3CN4C(=O)CCN4C34CCCC4)C2)C1)S(C)(=O)=O
