id,frag1,frag2,new_smiles
132,*NCc1ccc(OC(C)(C)C(=O)O)cc1,*C(=O)CCCCCCCCCN,CC(C)(Oc1ccc(CNC(=O)CCCCCCCCCN)cc1)C(=O)O
133,*CCCCCC(C)(C)OC,*N(Cc1ccc(C)cc1)C(=O)N[C@@H](CSCc1ccccc1)C(=O)[O-],COC(C)(C)CCCCCN(Cc1ccc(C)cc1)C(=O)N[C@@H](CSCc1ccccc1)C(=O)[O-]
134,*C(=O)[C@H]1CCCCN1S(=O)(=O)c1ccc(C)cc1,*c1cc(-c2ccccc2O)nnc1N,Cc1ccc(S(=O)(=O)N2CCCC[C@@H]2C(=O)c2cc(-c3ccccc3O)nnc2N)cc1
135,*C(=O)CCc1ccccc1,*CCCCCCCC(=O)O,O=C(O)CCCCCCCC(=O)CCc1ccccc1
136,*[C@H](CO)CO[P@](=O)([O-])OC[C@@H](O)CO,*c1cccc(C(F)(F)F)c1,O=[P@@]([O-])(OC[C@@H](O)CO)OC[C@@H](CO)c1cccc(C(F)(F)F)c1
137,*Nc1cccc(OC)c1,*Cc1ccccc1F,COc1cccc(NCc2ccccc2F)c1
138,*C(=O)C=C,*C(=O)[C@H](C)[C@H]1CC[C@H](c2ccnc3ccc(F)cc32)CC1,C=CC(=O)C(=O)[C@H](C)[C@H]1CC[C@H](c2ccnc3ccc(F)cc32)CC1
139,*NC1CCN(C)CC1,*CCCC(=O)[O-],CN1CCC(NCCCC(=O)[O-])CC1
140,*c1ccc2c(c1)OCCO2,*NCCSC(=O)C=Cc1ccc(N(C)C)cc1,CN(C)c1ccc(C=CC(=O)SCCNc2ccc3c(c2)OCCO3)cc1
141,*c1ccc(C2(C(=O)O)CC2)cc1,*C(=O)[C@@H](NC(=O)C1(F)CC1)C(C)(C)C,CC(C)(C)[C@H](NC(=O)C1(F)CC1)C(=O)c1ccc(C2(C(=O)O)CC2)cc1
142,*C(C)(C)C,*N1C(=O)N(C)[C@](C)(c2ccc(O)cc2)C1=O,CN1C(=O)N(C(C)(C)C)C(=O)[C@@]1(C)c1ccc(O)cc1
